src,ref
Add a family member,Gezinslid toevoegen
Call ended,Gesprek beëindigd
Press and hold the Ctrl key to begin dragging items.,Houd de Ctrl-toets ingedrukt om items te beginnen slepen.
Battery usage permission has a disclaimer,Toestemming voor accugebruik heeft een disclaimer
Mobile data is turned off,Mobiele gegevens zijn uitgeschakeld
Searching for nearby devices...,Zoeken naar apparaten in de buurt...
Formatting SD card...,SD-kaart formatteren...
Lift to silence ringer,Optillen om beltoon te dempen
Flip for Do Not Disturb,Omdraaien voor Niet storen
Screen reader is active.,Schermlezer is actief.
Spam call blocked,Spam-oproep geblokkeerd
Swipe to split screen,Swipen voor gesplitst scherm
Tap to pair with this device,Tik om met dit apparaat te koppelen
OIS reduces blur for sharper handheld shots.,OIS vermindert onscherpte voor scherpere foto's zonder statief.
Media volume adjusted,Mediavolume aangepast
Continue,Doorgaan
Lower brightness to save power,Verlaag de helderheid om stroom te besparen
5G connectivity supported on select networks.,5G-connectiviteit ondersteund op geselecteerde netwerken.
The phone will enter battery saver mode when the cover is closed.,De telefoon schakelt over naar de energiebesparingsmodus als de klep wordt gesloten.
Dolby Atmos is active,Dolby Atmos is actief
Or leave now and get a reminder.,Of sluit af en ontvangen een herinnering.
Tap back of phone to open app,Tik op de achterkant om app te openen
Full screen mode enabled,Volledig scherm ingeschakeld
Mirror your phone screen to your TV using an HDMI adapter.,Spiegel je telefoonscherm op je tv met een HDMI-adapter.
Mototalk requires an active data or Wi-Fi connection to function.,Mototalk vereist een actieve data- of Wi-Fi-verbinding om te werken.
Not possible to send PTT while recording a voice note.,Het is niet mogelijk om PTT te verzenden tijdens het opnemen van een spraakbericht.
"Or, connect by cable using an HDMI adapter or USB-C dock",Of sluit je displays via kabel aan met een HDMI- of USB-C-dock
"If you leave now, your progress will not be saved and you will need to start over.","Als je nu afsluit, wordt je voortgang niet opgeslagen en moet je opnieuw beginnen."
Or leave and get a reminder to complete setup later.,Of sluit af en ontvang een herinnering om de installatie later te voltooien.
Receive a notification each time a family member arrives at or leaves a location.,Ontvang een melding elke keer dat een gezinslid aankomt bij of vertrekt van een locatie.
Music control on lock screen,Muziekbediening op vergrendelscherm
Family space allows you to have only {1} people in you family account for free.,In Family Space kun je slechts {1} personen gratis aan je gezinsaccount toevoegen.
Security patch: April 2026,Beveiligingspatch: april 2026
Move or copy outside files to inside your secure folder,Verplaats of kopieer externe bestanden naar je beveiligde map
Fling content to a nearby screen to continue on a larger display.,Werp inhoud naar een scherm in de buurt om verder te gaan op een groter display.
This action cannot be undone.,Deze actie kan niet ongedaan worden gemaakt.
"To enable this feature, go to Settings, select Display, and then tap Advanced options.","Om deze functie in te schakelen, ga je naar Instellingen, selecteer je Weergave en tik je vervolgens op Geavanceerde opties."
Increase text size for better readability.,Vergroot de tekstgrootte voor betere leesbaarheid.
Unlock with your Moto Watch,Ontgrendelen met je Moto Watch
Account synced successfully,Account succesvol gesynchroniseerd
Screen time limit reached,Schermtijdlimiet bereikt
Double-tap to wake screen,Dubbeltik om het scherm te wekken
Step {1} of {2},Stap {1} van {2}
Use the trackpad to control the mouse cursor on your connected display.,Gebruik het trackpad om de muiscursor op je verbonden display te bedienen.
512 GB internal storage with UFS 3.1 technology.,512 GB interne opslag met UFS 3.1-technologie.
Your app tray now suggests apps based on your usage habits.,Je appoverzicht suggereert nu apps op basis van je gebruiksgewoonten.
One-handed mode active,Modus voor één hand actief
Upgrade to Premium to add unlimited family members.,Upgrade naar Premium om een onbeperkt aantal gezinsleden toe te voegen.
You'll be alerted when someone in your family group reaches this place.,Je ontvangt een melding wanneer iemand in je familiegroep deze plek bereikt.
Adaptive brightness enabled,Aanpasbare helderheid ingeschakeld
Custom gesture created,Aangepast gebaar gemaakt
Mute all notifications,Alle meldingen dempen
"Features downgraded, Subscription Cancel WIP","Functies gedowngraded, abonnement annuleren wordt aan gewerkt"
Pairing with {1}...,Koppelen met {1}...
Push notifications are currently disabled for this app.,Pushmeldingen zijn momenteel uitgeschakeld voor deze app.
Make your secure folder invisible by removing the Secure folder app icon from your home screen & app tray or within Moto Secure app settings,"Maak je beveiligde map onzichtbaar door het app-pictogram voor de beveiligde map te verwijderen uit je startscherm en het appoverzicht, of in de app-instellingen van je Moto Secure"
Color correction mode: Deuteranomaly,Kleurcorrectiemodus: Deuteranomalie
Connect to a Ready For device to use your phone apps on a bigger screen.,Verbind met een Ready For-apparaat om je telefoon-apps op een groter scherm te gebruiken.
Download {1} of {2} complete.,Download {1} van {2} voltooid.
Night vision mode active,Nachtzichtmodus actief
Mototalk puts superior productivity within your business’s reach.,Mototalk brengt superieure productiviteit binnen handbereik voor je bedrijf.
Manage your displays,Je displays beheren
Remote wipe has been initiated by your administrator.,Wissen op afstand is gestart door je beheerder.
This device is managed by your organization's EMM solution.,Dit apparaat wordt beheerd door de EMM-oplossing van je organisatie.
Switch profile,Profiel wisselen
Battery usage since last full charge,Batterijgebruik sinds laatste volledige oplading
Update window: {1} to {2},Updateperiode: {1} tot {2}
Color temperature: Warm,Kleurtemperatuur: Warm
Allow app to access location,App toestemming geven voor locatietoegang
Mirror phone to TV,Telefoon spiegelen op tv
Skip,Overslaan
Got it,Begrepen
Privacy warning: Camera in use,Privacywaarschuwing: camera in gebruik
You're logged in with your Moto account,Je bent ingelogd met je Moto-account
Open settings,Instellingen openen
Battery at {1}%%. Time remaining: {2},Batterij op {1}%%. Resterende tijd: {2}
Microphone is being used by {1},Microfoon wordt gebruikt door {1}
"For a wired setup, use an HDMI cable connected via a USB-C adapter.",Voor een bekabelde configuratie gebruik je een HDMI-kabel verbonden via een USB-C-adapter.
Privacy dashboard updated,Privacydashboard bijgewerkt
"This can't be undone, but you can connect again later","Dit kan niet ongedaan worden gemaakt, maar je kunt later opnieuw verbinding maken"
Quick launch shortcut,Snelkoppeling voor Snel starten
Your data is protected by end-to-end encryption.,Je gegevens zijn beschermd door end-to-end-encryptie.
"To get full-fledged access to Mototalk features, you can subscribe at: https://mototalk.com.","Als je volledige toegang wilt krijgen tot Mototalk-functies, kun je je abonneren op https://mototalk.com."
Block all tracking attempts,Alle trackingpogingen blokkeren
Select the display resolution that works best for you.,Selecteer de schermresolutie die het beste voor je werkt.
Media controls with volume keys,Mediaknoppen met volumetoetsen
Disconnecting will remove all synced data from this device.,Door de verbinding te verbreken worden alle gesynchroniseerde gegevens van dit apparaat verwijderd.
Quiet hours active,Stille uren actief
Mute microphone,Microfoon dempen
Enter your PIN to continue,Voer je pincode in om door te gaan
While using the app,Tijdens gebruik van de app
Hold the Control key to start drag & drop,Houd de Ctrl-toets ingedrukt om te slepen en neer te zetten
Found {1} files in {2},{1} bestanden gevonden in {2}
{1} new notifications,{1} nieuwe meldingen
"However, you may not receive new messages from email, messaging, and social networking apps after they are closed.","Je ontvangt echter mogelijk geen nieuwe berichten van e-mail-, berichten- en sociale-netwerkapps nadat deze zijn gesloten."
Reply via voice,Beantwoorden met spraak
"Press & hold on home screen to see themes, fonts, and more","Houd het startscherm ingedrukt om thema's, lettertypen en meer te bekijken"
Night light schedule active,Planning voor Nachtlampje actief
File {1} of {2} uploaded.,Bestand {1} van {2} geüpload.
Next,Volgende
Slow motion recording,Slowmotion-opname
Use a fling gesture to move content between your phone and tablet.,Gebruik een snelle veegbeweging om inhoud te verplaatsen tussen je telefoon en tablet.
Secure Folder is encrypted,Beveiligde map is versleuteld
"This action cannot be reversed, but you can set it up again from the Settings menu at any time.","Deze actie kan niet ongedaan worden gemaakt, maar je kunt het op elk moment opnieuw instellen via het menu Instellingen."
Factory data reset,Fabrieksinstellingen herstellen
Battery at 100%. Unplug charger.,Batterij 100%. Koppel de lader los.
Gesture navigation tutorial,Tutorial voor gebarennavigatie
Portrait mode: Enabled,Portretmodus: Ingeschakeld
Display aspect ratio updated,Beeldverhouding bijgewerkt
Policy template has been applied to {1} devices.,Beleidssjabloon is toegepast op {1} apparaten.
The following devices are available on your Moto account.,De volgende apparaten zijn beschikbaar op je Moto-account.
Disconnected {1},Verbinding verbroken {1}
Subscribe to unlock all premium features.,Abonneer je om alle premiumfuncties te ontgrendelen.
Quick capture: Twist twice,Snel vastleggen: twee keer draaien
Face unlock successful,Gezichtsontgrendeling succesvol
"If trusted devices/trusted places are set and Auto lock or Two-factor authentication is ON, all data will be cleared and both will be set to off","Als vertrouwde apparaten/vertrouwde locaties zijn ingesteld en Auto lock of Tweestapsverificatie is ingesteld op AAN, worden alle gegevens gewist en worden beide ingesteld op Uit"
Moto account setup complete,Moto-accountinstelling voltooid
Move running apps from your phone to a connected device with a swipe.,Verplaats actieve apps van je telefoon naar een verbonden apparaat met een veegbeweging.
Remind me later,Herinner me later
"Opens the sidebar menu in games, TV, or video chat","Opent het menu in de zijbalk voor games, tv of videogesprekken"
Explore instant games to play without downloading,Ontdek hoe je games speelt zonder ze eerst te hoeven downloaden
Enter the network password,Voer het netwerkwachtwoord in
"To drag and drop, keep the Control key pressed.","Om te slepen en neer te zetten, houd je de Control-toets ingedrukt."
Message from {1}: {2},Bericht van {1}: {2}
All data will be permanently deleted.,Alle gegevens worden permanent verwijderd.
Contact your IT administrator for assistance.,Neem contact op met je IT-beheerder voor hulp.
Emergency alerts: Allowed,Noodwaarschuwingen: Toegestaan
Missed call,Gemiste oproep
Emergency alerts active,Noodwaarschuwingen actief
Upgrade to Family Space Premium,Upgraden naar Family Space Premium
Permissions managed by admin,Machtigingen beheerd door beheerder
Search your installed apps directly from the app drawer.,Zoek je geïnstalleerde apps rechtstreeks vanuit het app-overzicht.
Enable high contrast mode to improve visibility.,Schakel de modus Hoog contrast in om de zichtbaarheid te verbeteren.
Backup to Google Drive completed,Back-up naar Google Drive voltooid
Forgot password?,Wachtwoord vergeten?
Software is up to date,Software is up-to-date
Camera access blocked,Cameratoegang geblokkeerd
Premium subscribers can invite as many family members as they want.,Premiumabonnees kunnen zoveel gezinsleden uitnodigen als ze willen.
Captions are enabled for media playback.,Ondertiteling is ingeschakeld voor het afspelen van media.
Transfer open apps from your phone to your PC or tablet using a fling gesture,Breng open apps over van je telefoon naar je pc of tablet met een snelle veegbeweging
Open recently used apps,Onlangs gebruikte apps openen
Training productivity module is available for enrollment,De trainingsproductiviteitmodule is beschikbaar voor registratie
"Your app tray can now search your apps, and recommend apps and shortcuts.",Je appoverzicht kan nu apps zoeken en apps en snelkoppelingen aanbevelen.
Fingerprint not recognized,Vingerafdruk niet herkend
Magnification shortcut: Triple-tap screen,Snelkoppeling voor vergroting: drie keer tikken op scherm
Couldn't connect to Wi-Fi,Kan geen verbinding maken met wifi
"When mirroring your screen, audio will play through the connected display's speakers.","Wanneer je je scherm spiegelt, wordt het geluid afgespeeld via de luidsprekers van het verbonden display."
Phone will shut down in 30 seconds,Telefoon wordt over 30 seconden uitgeschakeld
(Remaining times:{1}),(Resterende pogingen: {1})
Warning: This will erase all content on the SD card.,Waarschuwing: hiermee wordt alle inhoud op de SD-kaart gewist.
Call waiting active,Wisselgesprek actief
You can turn off{1} this enhanced personalization in App Tray settings.,Je kunt deze verbeterde personalisatie uitschakelen{1} in de instellingen van het appoverzicht.
Right-click on the desktop to access display settings.,Klik met de rechtermuisknop op het bureaublad om de weergave-instellingen te openen.
The Experience hub icon appears in the navigation bar when a display is connected.,Het pictogram Alle ervaringen verschijnt in de navigatiebalk wanneer een display is verbonden.
Please disable the Accessibility shortcut before continuing.,Schakel de snelkoppeling voor toegankelijkheid uit voordat je doorgaat.
Switch Access is controlling your device.,Switch Access bestuurt je apparaat.
Auto-rotate screen,Scherm automatisch draaien
"- PPT (Push-To-Talk): Fast communication with your team including individual calls, group calls, and call recording- Messenger: text and voice notes- Share contacts, images, files, and locations- Send and receive alertsPRODUCTIVITY- Track location: Monitor your external teams in real-time- Workday: Organize and keep track of your staff working hours and job journeys (start/end) by location, photos, and time- Define employee goals - Plan and track your team tasks.","- PPT (Push-To-Talk): snelle communicatie met je team, waaronder individuele oproepen, groepsgesprekken en het opnemen van oproepen- Messenger: tekst- en spraakberichten- Contacten, afbeeldingen, bestanden en locaties delen- PRODUCTIVITEIT- Locatie volgen: volg je externe teams in realtime - Werkdag: houd de werkuren en de reizen van je personeel (begin/eind) bij op basis van locatie, foto's en tijd- Stel werknemersdoelen in - Plan en volg de taken van je team."
Do Not Disturb: Alarms only,Niet storen: alleen wekkers
Snap crystal-clear photos and videos with a 50MP main camera featuring optical image stabilization.,Maak kristalheldere foto's en video's met een 50MP-hoofdcamera met optische beeldstabilisatie.
Volume limit reached,Volumelimiet bereikt
Use display aspect ratio,Beeldverhouding gebruiken
This feature may conflict with other accessibility services.,Deze functie kan conflicteren met andere toegankelijkheidsservices.
The app tray can suggest frequently used apps and shortcuts based on your habits.,Het appoverzicht kan veelgebruikte apps en snelkoppelingen suggereren op basis van je gewoonten.
"When you're in an app, swipe up from the navigation bar until your finger reaches the Experience hub icon",Veeg in een app omhoog vanaf de navigatiebalk tot je vinger het pictogram Alle ervaringen bereikt
No personal information will be stored.,Persoonsgegevens worden niet opgeslagen.
Press and hold Power button,Houd de aan/uit-knop ingedrukt
Plan comparison,Vergelijking van abonnementen
System log generated,Systeemlogboek gegenereerd
Not now,Niet nu
Flashlight: Chop twice,Zaklamp: twee keer schudden
Choose a default resolution for this display,Kies een standaardresolutie voor dit display
Done,Gereed
This is your current plan,Dit is je huidige abonnement
You've successfully logged into your Moto account,Je hebt je met succes aangemeld bij je Moto-account
Bug fixes and stability improvements,Stabiliteitsverbeteringen en oplossingen voor problemen
Try again,Opnieuw proberen
Back,Terug
Speakerphone on,Luidspreker aan
The trackpad supports multi-finger gestures for navigation.,Het trackpad ondersteunt gebaren met meerdere vingers voor navigatie.
App is draining battery in background,App verbruikt batterij op de achtergrond
To do this Branch will access & analyze your{1} device identifiers and app usage.,"Om dit te kunnen doen, bekijkt en analyseert Branch je{1} apparaat-id's en appgebruik."
This setting is controlled by your device administrator.,Deze instelling wordt beheerd door je apparaatbeheerder.
Please ensure that the Accessibility shortcut is disabled so it doesn't conflict with screen blockers.,"Zorg ervoor dat de snelkoppeling voor Toegankelijkheid is uitgeschakeld, zodat deze niet in strijd is met schermblokkeringen."
You can make the Secure folder hidden by removing it from the app drawer.,Je kunt de beveiligde map verbergen door deze te verwijderen uit het app-overzicht.
Go premium,Kies voor Premium
Scan to wirelessly connect your displays.,Scan om je displays draadloos aan te sluiten.
Ejecting USB drive,USB-station uitwerpen
Cancel,Annuleren
"Note: To ensure a high level of device security, every 72 hours you will be asked to unlock your device using another authentication method after which you can use Face unlock again.","Opmerking: om voor een hoog niveau van apparaatbeveiliging te zorgen, word je iedere 72 uur gevraagd je apparaat te ontgrendelen met een andere verificatiemethode waarna je Ontgrendelen via gezichtsherkenning weer kunt gebruiken."
Flip open to continue.,Klap open om door te gaan.
Retry,Opnieuw proberen
Push-To-Talk (PTT) is available when connected to the Mototalk network.,Push-To-Talk (PTT) is beschikbaar wanneer je verbonden bent met het Mototalk-netwerk.
Powered by LPDDR5 RAM for faster performance.,Aangedreven door LPDDR5-RAM voor snellere prestaties.
Learn more,Meer informatie
View and configure all connected screens.,Bekijk en configureer alle verbonden schermen.
IP address conflict detected,IP-adresconflict gedetecteerd
Swipe up from the navigation bar to open Experience hub.,Veeg omhoog vanaf de navigatiebalk om Alle ervaringen te openen.
Three finger screenshot,Screenshot met drie vingers
Swipe up to go home,Swipe omhoog om naar Start te gaan
Wireless charging interrupted,Draadloos opladen onderbroken
Attempt {1} failed,Poging {1} mislukt
"When using the Verizon Wireless network, the voice portion of a video call will appear on your bill as mobile-to-mobile voice usage, and the video portion will be billed as data.",Bij gebruik van het Verizon Wireless-netwerk wordt het spraakgedeelte van een videogesprek op je factuur weergegeven als spraakgesprek van mobiel naar mobiel en wordt het videogedeelte gefactureerd als gegevens.
Ready For lets you use your phone as a full PC experience on a connected monitor.,Met Ready For kun je je telefoon gebruiken als volledige pc-ervaring op een verbonden monitor.
New PTT button experience,Nieuwe PTT-knop
This app facilitates policy distribution.,Deze app faciliteert beleidsdistributie.
Show less,Minder weergeven
Display time for two locations,Tijd voor twee locaties weergeven
"Maintain a clear vision of your team goals and activities including execution time, period time control, prioritization of tasks, and more- Create surveys and send them to employees when they complete designated tasks- Generate reports related to survey responses- Create training sessions for your employeesRequires a data connection 3G/4G/5G or Wi-Fi access","Houd een duidelijk beeld van je teamdoelstellingen en activiteiten zoals uitvoeringstijd, periodieke tijdcontrole, prioriteitstelling van taken en meer- Maak enquêtes en stuur deze naar medewerkers wanneer ze de aangegeven taken hebben voltooid- Genereer enquêtegerelateerde rapporten- Maak trainingssessies voor je medewerkersVereist een gegevensverbinding met 3G/4G/5G of wifi-toegang"
Wirelessly connect to a Miracast-enabled display.,Maak draadloos verbinding met een display met Miracast-ondersteuning.
Dark theme scheduled,Donker thema gepland
Update all apps,Alle apps bijwerken
TurboPower connected,TurboPower verbonden
Battery saver mode: On,Batterijbesparing: Aan
Remaining attempts: {1},Resterende pogingen: {1}
Saving photo...,Foto opslaan...
Add account,Account toevoegen
Update {1} of {2},Update {1} van {2}
"Experience hub lets you seamlessly switch between your phone, tablet, and PC.","Met Alle ervaringen schakel je naadloos over tussen je telefoon, tablet en pc."
System update will restart phone,Systeemupdate zal telefoon herstarten
You can try to add a voice call.,Je kunt proberen een spraakoproep toe te voegen.
Hide the Secure folder by removing its icon from your home screen.,Verberg de beveiligde map door het pictogram te verwijderen van je startscherm.
Save up to {1}%% on your annual plan.,Bespaar tot {1}%% op je jaarplan.
Flash: Auto,Flitser: Automatisch
